country,match_type,keyword,campaign,current_bid,sweet_spot_bid,recommended_bid,action,impressions,orders,acos
US,BROAD,keyword-2af78b,US-Campaign-FD87B9,0.55,0.1107136970496126,0.2801420838971583,decrease,183505,36,0.1462305292616235
US,BROAD,keyword-b2eeb1,US-Campaign-AFCB99,0.69,0.1107136970496126,0.2801420838971583,decrease,183443,149,0.0384292629201218
DE,BROAD,kw-3w-769ec2,DE-Campaign-73B95A,0.53,0.184690067214339,0.2288114104595879,decrease,183361,1,0.6203649205414951
US,BROAD,keyword-52177e,US-Campaign-F33838,0.4,0.1107136970496126,0.2801420838971583,decrease,183350,38,0.1406626433290796
US,BROAD,keyword-462ebf,US-Campaign-A33EDF,0.18,0.1107136970496126,0.18,maintain,183126,3,0.3818134171907756
CA,BROAD,keyword-8886a2,CA-Campaign-D33FA1,0.4,0.2935599159074982,0.4,maintain,183102,0,1956.0
US,PHRASE,keyword-a1743c,US-Campaign-E12257,0.11,0.1604592968007602,0.1604592968007602,increase,183028,1,0.202680067001675
CA,BROAD,kw-3w-37f15d,CA-Campaign-3DA4C8,0.19,0.2935599159074982,0.2935599159074982,increase,182956,9,0.0188484131299239
ES,PHRASE,keyword-150448,ES-Campaign-51D7F5,0.15,0.1250119331742243,0.15,maintain,182884,64,0.0473464703197791
US,BROAD,keyword-adb332,US-Campaign-1896FB,0.23,0.1107136970496126,0.23,maintain,182871,168,0.0828528717775856
US,BROAD,keyword-995111,US-Campaign-15DDD9,0.6,0.1107136970496126,0.2801420838971583,decrease,182699,165,0.287374144282464
CA,PHRASE,keyword-a09de0,CA-Campaign-408678,0.7,0.2890287277701778,0.5994039735099338,decrease,182669,11,0.0538684375268513
FR,BROAD,kw-3w-6fc71c,FR-Campaign-AC60F4,0.45,0.26,0.2232843137254902,decrease,182481,52,0.11288086865005
CA,PHRASE,keyword-07458a,CA-Campaign-347F94,0.73,0.2890287277701778,0.5994039735099338,decrease,182383,53,0.1248280805067508
CA,BROAD,keyword-66b57f,CA-Campaign-C16F75,0.6,0.2935599159074982,0.41,decrease,182372,31,0.1512539137307353
CA,BROAD,keyword-ae3367,CA-Campaign-89CEAD,0.4,0.2935599159074982,0.4,maintain,182279,3,0.0501124120053564
US,PHRASE,kw-4w-4ae1d9,US-Campaign-8F5AE1,0.53,0.1604592968007602,0.2876117268501966,decrease,182259,113,0.1394660887069906
CA,BROAD,keyword-ef5f97,CA-Campaign-AB267A,0.7,0.2935599159074982,0.41,decrease,182233,5,0.3131535269709543
US,PHRASE,keyword-ac76e0,US-Campaign-0CED2C,0.48,0.1604592968007602,0.2876117268501966,decrease,182124,516,0.0544504788582411
CA,BROAD,keyword-963965,CA-Campaign-6CDD34,0.65,0.2935599159074982,0.41,decrease,182022,28,0.1193698819160733
US,EXACT,keyword-10537d,Campaign-4B61BF,0.78,0.2222651261781696,0.78,maintain,181806,172,0.0849301584325489
US,BROAD,kw-4w-2e500c,US-Campaign-A990E9,0.69,0.1107136970496126,0.2801420838971583,decrease,181779,204,0.0671228360023966
US,BROAD,kw-3w-c1c49c,US-Campaign-4EE760,1.2,0.1107136970496126,0.2801420838971583,decrease,181752,121,0.117790232406012
US,PHRASE,keyword-84b9cd,US-Campaign-385CD5,0.5,0.1604592968007602,0.2876117268501966,decrease,181707,79,0.0288756812391381
US,BROAD,keyword-171bca,US-Campaign-ECA033,0.25,0.1107136970496126,0.25,maintain,181612,199,0.0394406770963948
CA,PHRASE,kw-3w-7969c2,CA-Campaign-30991F,0.5,0.2890287277701778,0.5,maintain,181573,39,0.1976503453813129
US,BROAD,keyword-918d55,US-Campaign-541730,0.42,0.1107136970496126,0.2801420838971583,decrease,181554,24,0.0237816991936426
DE,BROAD,keyword-c48ef7,DE-Campaign-4E3FD5,0.38,0.184690067214339,0.2288114104595879,decrease,181536,57,0.0814016115126291
DE,PHRASE,keyword-29bf37,DE-Campaign-113830,0.26,0.0757186081694402,0.259519014177819,decrease,181440,33,0.1958673667399751
US,BROAD,kw-7w-d883e9,US-Campaign-554FC8,0.35,0.1107136970496126,0.2801420838971583,decrease,181382,167,0.0771450359433712
CA,BROAD,kw-4w-7ebda5,CA-Campaign-1ACA50,0.55,0.2935599159074982,0.41,decrease,181284,9,0.0958330015131002
DE,BROAD,keyword-9d0257,DE-Campaign-6A18A5,0.28,0.184690067214339,0.2288114104595879,decrease,181248,9,0.0470693861734988
CA,BROAD,keyword-e9fc4d,CA-Campaign-428B1C,0.6,0.2935599159074982,0.41,decrease,181197,32,0.0443266788328746
CA,PHRASE,keyword-320acf,CA-Campaign-6A9340,0.29,0.2890287277701778,0.29,maintain,181130,94,0.0730526696685783
CA,BROAD,keyword-8a8e88,CA-Campaign-62E195,0.6,0.2935599159074982,0.41,decrease,181123,16,0.0359798793906656
IT,BROAD,kw-5w-4f5e54,IT-Campaign-120EF4,0.21,0.1387337278106508,0.1706684491978609,decrease,181121,16,0.1884579907760176
CA,BROAD,keyword-111d9e,CA-Campaign-B22AE6,0.6,0.2935599159074982,0.41,decrease,181119,104,0.1486390437192277
US,BROAD,kw-3w-3db425,US-Campaign-73C016,0.65,0.1107136970496126,0.2801420838971583,decrease,180989,130,0.1954918401061719
FR,BROAD,kw-3w-901ab1,FR-Campaign-3DADF0,0.31,0.26,0.2232843137254902,decrease,180921,6,0.3008798499927881
US,PHRASE,keyword-6f8f8e,US-Campaign-E7D5B6,0.46,0.1604592968007602,0.2876117268501966,decrease,180853,101,0.0720296357214712
US,BROAD,kw-4w-a50671,US-Campaign-03CA2B,0.44,0.1107136970496126,0.2801420838971583,decrease,180745,26,0.0775502820770822
US,BROAD,keyword-a7859d,US-Campaign-463C45,0.1,0.1107136970496126,0.1107136970496126,increase,180729,116,0.0438032309845163
CA,PHRASE,kw-3w-fb9bf9,CA-Campaign-7540C6,0.7,0.2890287277701778,0.5994039735099338,decrease,180662,18,0.1759783169686818
DE,BROAD,keyword-e112e5,DE-Campaign-7F2B01,0.18,0.184690067214339,0.18,maintain,180269,24,0.1972099427082444
FR,BROAD,kw-4w-d6bbce,FR-Campaign-01A135,0.26,0.26,0.2232843137254902,decrease,180197,27,0.07520150826687
US,PHRASE,kw-3w-52b066,US-Campaign-BBABF2,0.4,0.1604592968007602,0.2876117268501966,decrease,180096,35,0.0517464637403516
US,BROAD,kw-4w-6b3f9e,US-Campaign-E936E5,0.73,0.1107136970496126,0.2801420838971583,decrease,180055,41,0.2312281330331762
US,BROAD,kw-4w-10cdb6,US-Campaign-6CAB55,0.7,0.1107136970496126,0.2801420838971583,decrease,179941,17,0.0777241246917408
CA,PHRASE,keyword-f01b59,CA-Campaign-F48406,0.6,0.2890287277701778,0.5994039735099338,decrease,179903,4,0.9228841247818108
US,EXACT,kw-3w-007da2,US-Campaign-525B87,0.6,0.2222651261781696,0.6,maintain,179751,19,0.185471264367816
US,PHRASE,keyword-0f02f4,US-Campaign-AB2F86,0.45,0.1604592968007602,0.2876117268501966,decrease,179588,20,0.2930176406819749
US,BROAD,keyword-b76f07,US-Campaign-2C1AD4,0.6,0.1107136970496126,0.2801420838971583,decrease,179574,107,0.06842963389932
US,BROAD,keyword-3f5755,US-Campaign-3A348A,0.51,0.1107136970496126,0.2801420838971583,decrease,179500,166,0.0971832187360401
US,BROAD,keyword-4e3c55,Campaign-AE2046,0.43,0.1107136970496126,0.2801420838971583,decrease,179086,25,0.0693050322605386
US,PHRASE,kw-4w-6ae504,US-Campaign-99FBB4,0.75,0.1604592968007602,0.2876117268501966,decrease,178839,217,0.1140940681031364
